"Campaign name","Ad set name","Ad name",Day,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (JPY)","Cost per result",Starts,Ends,"Purchases rate per link clicks","Purchases rate per landing page views","CPC (cost per link click)","CPM (cost per 1,000 impressions)","Cost per purchase",Purchases,"Link clicks","Cost per unique link click","Cost per add to cart","Cost per checkout initiated","Landing page views","Cost per landing page view","Landing page views rate per link clicks","Unique link clicks","Unique CTR (link click-through rate)","Reporting starts","Reporting ends"
"ABOS Sales Campaign","Retarg [engagers] - Jan 14","Opening Weekend Video - Copy",2025-12-25,not_delivering,ad,1751,2118,1.20959452,"7-day click, 1-day view, or 1-day engaged-view",,,2417,,2025-12-06,2026-01-19,0,0,61.97435897,1141.17091596,,,39,69.05714286,402.83333333,805.66666667,33,73.24242424,84.61538462,35,1.9988578,2025-12-25,2025-12-25
Sales,"Web Audience Retarg","Poster [Redirect link]",2025-12-25,not_delivering,ad,923,1057,1.14517876,"7-day click, 1-day view, or 1-day engaged-view",,,1142,,2025-11-27,2026-01-13,0,0,103.81818182,1080.41627247,,,11,103.81818182,,,11,103.81818182,100,11,1.19176598,2025-12-25,2025-12-25
"ABOS Sales Campaign","Zaiko + InBound (English)","JD Spray Painting Ground - Copy 2",2025-12-25,inactive,ad,0,0,0,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",1,0,0,2025-12-06,2026-01-19,0,0,,,0,1,,,0,0,,,0,,,2025-12-25,2025-12-25
Sales,"Zaiko Test - Account Engagers - Broad","Flexible 3 Groups",2025-12-25,not_delivering,ad,0,0,0,"7-day click, 1-day view, or 1-day engaged-view",,,0,,2025-12-08,2025-12-31,0,0,,,,,,,0,0,,,0,,,2025-12-25,2025-12-25
"ABOS Sales Campaign","Retarg [engagers] - Jan 14","JD sitting desk",2025-12-25,not_delivering,ad,314,359,1.1433121,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",1,447,447,2025-12-06,2026-01-19,50,0,223.5,1245.12534819,447,1,2,223.5,,447,,,0,2,0.63694268,2025-12-25,2025-12-25
Sales,"Web Audience Retarg","JD Konnichiwa Video",2025-12-25,not_delivering,ad,3380,3607,1.06715976,"7-day click, 1-day view, or 1-day engaged-view",,,3276,,2025-11-27,2026-01-13,0,0,61.81132075,908.23398946,,,53,64.23529412,,,41,79.90243902,77.35849057,51,1.50887574,2025-12-25,2025-12-25
"ABOS Sales Campaign","Retarg [engagers] - Jan 14","JD Painting Video - Copy",2025-12-25,not_delivering,ad,378,461,1.21957672,"7-day click, 1-day view, or 1-day engaged-view",,,618,,2025-12-06,2026-01-19,0,0,38.625,1340.56399132,,,16,44.14285714,618,,12,51.5,75,14,3.7037037,2025-12-25,2025-12-25
Sales,"Web Audience Retarg","Poster [Redirect link] + related Media",2025-12-25,not_delivering,ad,7691,9385,1.22025744,"7-day click, 1-day view, or 1-day engaged-view",,,9308,,2025-11-27,2026-01-13,0,0,74.464,991.79541822,,,125,80.93913043,3102.66666667,9308,114,81.64912281,91.2,115,1.49525419,2025-12-25,2025-12-25
Sales,"Web Audience Retarg","JD sitting desk - Copy",2025-12-25,not_delivering,ad,5,6,1.2,"7-day click, 1-day view, or 1-day engaged-view",,,1,,2025-11-27,2026-01-13,0,0,,166.66666667,,,,,,,,,0,,,2025-12-25,2025-12-25
"ABOS Sales Campaign","Retarg [engagers] - Jan 14","JD Pose with Graphic",2025-12-25,not_delivering,ad,617,664,1.07617504,"7-day click, 1-day view, or 1-day engaged-view",,,627,,2025-12-06,2026-01-19,0,0,62.7,944.27710843,,,10,69.66666667,,,9,69.66666667,90,9,1.45867099,2025-12-25,2025-12-25
"ABOS Sales Campaign","Retarg [engagers] - Jan 14",Poster,2025-12-25,not_delivering,ad,471,506,1.07430998,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",2,766,383,2025-12-06,2026-01-19,18.18181818,22.22222222,69.63636364,1513.83399209,383,2,11,69.63636364,255.33333333,383,9,85.11111111,81.81818182,11,2.33545648,2025-12-25,2025-12-25
"ABOS Sales Campaign","Retarg [engagers] - Jan 14","JD Spray Painting Ground - Copy",2025-12-25,not_delivering,ad,55,60,1.09090909,"7-day click, 1-day view, or 1-day engaged-view",,,74,,2025-12-06,2026-01-19,0,0,,1233.33333333,,,,,,,,,0,,,2025-12-25,2025-12-25
Sales,"Web Audience Retarg","Flexible 3 Groups",2025-12-25,not_delivering,ad,6597,8813,1.33591026,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",1,9499,9499,2025-11-27,2026-01-13,0.62111801,0.86956522,59,1077.8395552,9499,1,161,63.75167785,1899.8,3166.33333333,115,82.6,71.42857143,149,2.2586024,2025-12-25,2025-12-25
"ABOS Sales Campaign","Retarg [engagers] - Jan 14","Poster [Redirect link] + related Media",2025-12-25,not_delivering,ad,1063,1129,1.06208843,"7-day click, 1-day view, or 1-day engaged-view",,,1608,,2025-12-06,2026-01-19,0,0,50.25,1424.26926484,,,32,53.6,1608,,30,53.6,93.75,30,2.82220132,2025-12-25,2025-12-25
Sales,"JD Interest","Black and white photo - Copy",2025-12-25,not_delivering,ad,0,0,0,"7-day click or 1-day view",,,0,,2025-12-17,2026-01-13,0,0,,,,,,,0,,,,0,,,2025-12-25,2025-12-25
Sales,"Web Audience Retarg","JD Spray Painting Ground - Copy 2",2025-12-25,not_delivering,ad,75,83,1.10666667,"7-day click, 1-day view, or 1-day engaged-view",,,125,,2025-11-27,2026-01-13,0,0,41.66666667,1506.02409639,,,3,62.5,,,,,0,2,2.66666667,2025-12-25,2025-12-25
"ABOS Sales Campaign","Zaiko + InBound (English)","Opening Weekend Video - Copy",2025-12-25,not_delivering,ad,0,0,0,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",1,0,0,2025-12-06,2026-01-19,0,0,,,0,1,,,0,0,,,0,,,2025-12-25,2025-12-25
Sales,"Zaiko Test - Account Engagers - Broad","JD Konnichiwa Video",2025-12-25,not_delivering,ad,0,0,0,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",2,0,0,2025-12-08,2025-12-31,0,0,,,0,2,,,,,,,0,,,2025-12-25,2025-12-25
Sales,"Web Audience Retarg","JD Pose with Graphic - Copy",2025-12-24,not_delivering,ad,7,7,1,"7-day click, 1-day view, or 1-day engaged-view",,,1,,2025-11-27,2026-01-13,0,0,,142.85714286,,,,,,,,,0,,,2025-12-24,2025-12-24
Sales,"Zaiko Test - Account Engagers - Broad","JD Gpainting with graphics",2025-12-24,not_delivering,ad,632,695,1.09968354,"7-day click, 1-day view, or 1-day engaged-view",,,746,,2025-12-08,2025-12-31,0,0,74.6,1073.38129496,,,10,82.88888889,746,,9,82.88888889,90,9,1.42405063,2025-12-24,2025-12-24
"ABOS Sales Campaign","Retarg [engagers] - Jan 14","JD Konnichiwa Video",2025-12-24,not_delivering,ad,476,548,1.1512605,"7-day click, 1-day view, or 1-day engaged-view",,,704,,2025-12-06,2026-01-19,0,0,58.66666667,1284.67153285,,,12,58.66666667,,,8,88,66.66666667,12,2.5210084,2025-12-24,2025-12-24
"ABOS Sales Campaign","Retarg [engagers] - Jan 14","Opening Weekend Video - Copy",2025-12-24,not_delivering,ad,2161,2717,1.25728829,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",2,3794,1897,2025-12-06,2026-01-19,1.92307692,2.89855072,36.48076923,1396.3930806,1897,2,104,49.27272727,1264.66666667,1264.66666667,69,54.98550725,66.34615385,77,3.5631652,2025-12-24,2025-12-24
"ABOS Sales Campaign","Retarg [engagers] - Jan 14","JD Graffiti Paint - Copy",2025-12-24,not_delivering,ad,202,222,1.0990099,"7-day click, 1-day view, or 1-day engaged-view",,,339,,2025-12-06,2026-01-19,0,0,169.5,1527.02702703,,,2,169.5,,,1,339,50,2,0.99009901,2025-12-24,2025-12-24
"ABOS Sales Campaign","Retarg [engagers] - Jan 14","Poster [Redirect link]",2025-12-24,not_delivering,ad,1988,2405,1.20975855,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",2,2938,1469,2025-12-06,2026-01-19,6.06060606,7.40740741,89.03030303,1221.62162162,1469,2,33,101.31034483,979.33333333,979.33333333,27,108.81481481,81.81818182,29,1.45875252,2025-12-24,2025-12-24
"ABOS Sales Campaign","Retarg [engagers] - Jan 14","Flexible 3 Groups",2025-12-24,not_delivering,ad,5,5,1,"7-day click, 1-day view, or 1-day engaged-view",,,2,,2025-12-06,2026-01-19,0,0,,400,,,,,,,,,0,,,2025-12-24,2025-12-24
"ABOS Sales Campaign","Retarg [engagers] - Jan 14","JD Spray Painting Ground - Copy 2",2025-12-24,not_delivering,ad,114,123,1.07894737,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",2,162,81,2025-12-06,2026-01-19,50,100,40.5,1317.07317073,81,2,4,54,81,81,2,81,50,3,2.63157895,2025-12-24,2025-12-24
Sales,"Zaiko Test - Account Engagers - Broad","Black and white photo",2025-12-24,not_delivering,ad,10446,12982,1.24277235,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",1,10471,10471,2025-12-08,2025-12-31,0.4587156,0.76335878,48.03211009,806.57833924,10471,1,218,53.42346939,1047.1,2094.2,131,79.93129771,60.09174312,196,1.87631629,2025-12-24,2025-12-24
"ABOS Sales Campaign","Retarg [engagers] - Jan 14","JD w/ Confetti",2025-12-24,not_delivering,ad,1152,1337,1.16059028,"7-day click, 1-day view, or 1-day engaged-view",,,1360,,2025-12-06,2026-01-19,0,0,68,1017.2026926,,,20,68,,,16,85,80,20,1.73611111,2025-12-24,2025-12-24
"ABOS Sales Campaign","Retarg [engagers] - Jan 14","JD sitting desk",2025-12-24,not_delivering,ad,1021,1329,1.30166503,"7-day click, 1-day view, or 1-day engaged-view",,,1789,,2025-12-06,2026-01-19,0,0,85.19047619,1346.12490594,,,21,89.45,1789,,17,105.23529412,80.95238095,20,1.95886386,2025-12-24,2025-12-24
