"Campaign name","Ad set name","Ad name",Day,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (JPY)","Cost per result",Starts,Ends,"Purchases rate per link clicks","Purchases rate per landing page views","CPC (cost per link click)","CPM (cost per 1,000 impressions)","Cost per purchase",Purchases,"Link clicks","Cost per unique link click","Cost per add to cart","Cost per checkout initiated","Landing page views","Cost per landing page view","Landing page views rate per link clicks","Unique link clicks","Unique CTR (link click-through rate)","Adds to cart","Checkouts initiated",Leads,"Cost per lead","Result rate",Views,Viewers,"Results rate per link clicks","Ad Delivery","Campaign Delivery","Ad set delivery","Quality ranking","Engagement rate ranking","Video average play time","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Cost per 3-second video play","Cost per ThruPlay","Outbound clicks","Unique outbound clicks","CTR (link click-through rate)","Outbound CTR (click-through rate)","Unique outbound CTR (click-through rate)","Unique CTR (all)","Unique clicks (all)","Instagram profile visits","Ad recall lift","Ad recall lift rate",Bid,"Bid type","Buying type","Performance goal",Objective,"Reporting starts","Reporting ends","Campaign Budget","Campaign Budget Type"
"Sales - Copy","Custom Audience (Video + Interaction + LP)","Black and white photo - Copy",2026-02-02,not_delivering,ad,1059,1262,1.19169027,"7-day click or 1-day view","Website purchases",2,1376,688,2026-01-26,Ongoing,5.26315789,5.12820513,36.21052632,1090.33280507,688,2,38,44.38709677,458.66666667,688,39,35.28205128,102.63157895,31,2.9272899,3,2,8,172,0.15847861,1268,1029,5.26315789,not_delivering,inactive,not_delivering,-,-,8,48,33,27,8,5,7.35828877,22.93333333,38,31,3.0110935,3.0110935,2.9272899,5.19357885,55,15,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-02-02,2026-02-02,100000,Daily
"ABOS Traffic 2.0","JD Deep Interest","Hello Tokyo - Copy",2026-02-02,active,ad,15,15,1,"7-day click or 1-day view","Landing page views",1,4,4,2026-01-09,Ongoing,0,0,4,266.66666667,,,1,4,,,1,4,100,1,6.66666667,,,1,4,6.66666667,15,15,100,active,active,active,-,-,,,,,,,,,1,1,6.66666667,6.66666667,6.66666667,6.66666667,1,0,,,,ABSOLUTE_OCPM,AUCTION,"Landing Page Views",Traffic,2026-02-02,2026-02-02,50000,Daily
"Sales - Copy","Zaiko + InBound (English) - Copy","JD w/ Confetti",2026-02-02,not_delivering,ad,147,161,1.0952381,"7-day click or 1-day view",,,132,,2026-01-28,Ongoing,0,0,66,819.8757764,,,2,66,,132,2,66,100,2,1.36054422,,1,1,132,,161,147,,not_delivering,inactive,not_delivering,-,-,2,,,,,,,,2,2,1.24223602,1.24223602,1.36054422,1.36054422,2,10,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-02-02,2026-02-02,100000,Daily
"Sales - Copy","Test - Web Audience Retarg (Zaiko)","Black and white photo - Copy",2026-02-02,not_delivering,ad,35,36,1.02857143,"7-day click, 1-day view, or 1-day engaged-view",,,29,,2026-01-31,Ongoing,0,0,,805.55555556,,,,,,,,,0,,,,,,,,35,33,,not_delivering,inactive,not_delivering,-,-,12,3,2,2,1,1,5.8,9.66666667,,,,,,0,0,0,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-02-02,2026-02-02,100000,Daily
"Sales - Copy","Custom Audience (Video + Interaction + LP)","JD w/ Confetti - Copy",2026-02-02,not_delivering,ad,261,276,1.05747126,"7-day click or 1-day view",,,238,,2026-01-26,Ongoing,0,0,238,862.31884058,,,1,238,,,1,238,100,1,0.38314176,,,1,238,,276,261,,not_delivering,inactive,not_delivering,-,-,1,,,,,,,,1,1,0.36231884,0.36231884,0.38314176,1.53256705,4,1,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-02-02,2026-02-02,100000,Daily
"Sales - Copy","Zaiko + InBound (English) - Copy","JD Spray Painting Ground - Copy",2026-02-01,not_delivering,ad,119,128,1.07563025,"7-day click or 1-day view",,,92,,2026-01-28,Ongoing,0,0,92,718.75,,,1,92,,,1,92,100,1,0.84033613,,,,,,128,119,,not_delivering,inactive,not_delivering,-,-,,,,,,,,,1,1,0.78125,0.78125,0.84033613,5.04201681,6,0,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-02-01,2026-02-01,100000,Daily
"Sales - Copy","Custom Audience (Video + Interaction + LP)","JD Pose with Graphic - Copy",2026-02-01,not_delivering,ad,199,214,1.07537688,"7-day click or 1-day view",,,178,,2026-01-26,Ongoing,0,0,89,831.77570093,,,2,89,,,2,89,100,2,1.00502513,,,1,178,,215,199,,not_delivering,inactive,not_delivering,-,-,,,,,,,,,2,2,0.93457944,0.93457944,1.00502513,3.01507538,6,1,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-02-01,2026-02-01,100000,Daily
"Sales - Copy","Web Audience Retarg","JD Spray Painting Ground - Copy 2",2026-02-01,not_delivering,ad,2,2,1,"7-day click, 1-day view, or 1-day engaged-view",,,3,,2026-01-21,Ongoing,0,0,3,1500,,,1,3,,,1,3,100,1,50,,,,,,2,2,,not_delivering,inactive,not_delivering,-,-,,,,,,,,,1,1,50,50,50,50,1,0,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-02-01,2026-02-01,100000,Daily
"Sales - Copy","Custom Audience (Video + Interaction + LP)","Opening Weekend Video - Copy 2",2026-02-01,not_delivering,ad,1939,2196,1.13254255,"7-day click or 1-day view","Website purchases",3,2279,759.66666667,2026-01-26,Ongoing,3.79746835,4.54545455,28.84810127,1037.79599271,759.66666667,3,79,32.55714286,1139.5,759.66666667,66,34.53030303,83.5443038,70,3.6101083,2,3,20,113.95,0.13661202,2204,1855,3.79746835,not_delivering,inactive,not_delivering,Average,"Above average",9,408,236,155,115,110,2.52660754,7.07763975,79,70,3.59744991,3.59744991,3.6101083,7.27178958,141,31,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-02-01,2026-02-01,100000,Daily
"Sales - Copy","Zaiko + InBound (English) - Copy","JD sitting desk",2026-02-01,not_delivering,ad,130,143,1.1,"7-day click or 1-day view",,,118,,2026-01-28,Ongoing,0,0,59,825.17482517,,,2,59,,,1,118,50,2,1.53846154,,,1,118,,144,130,,not_delivering,inactive,not_delivering,-,-,,,,,,,,,2,2,1.3986014,1.3986014,1.53846154,6.92307692,9,3,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-02-01,2026-02-01,100000,Daily
