"Campaign name","Ad set name","Ad name",Day,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (JPY)","Cost per result",Starts,Ends,"Purchases rate per link clicks","Purchases rate per landing page views","CPC (cost per link click)","CPM (cost per 1,000 impressions)","Cost per purchase",Purchases,"Link clicks","Cost per unique link click","Cost per add to cart","Cost per checkout initiated","Landing page views","Cost per landing page view","Landing page views rate per link clicks","Unique link clicks","Unique CTR (link click-through rate)","Adds to cart","Checkouts initiated",Leads,"Cost per lead","Result rate",Views,Viewers,"Results rate per link clicks","Ad Delivery","Campaign Delivery","Ad set delivery","Quality ranking","Engagement rate ranking","Video average play time","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Cost per 3-second video play","Cost per ThruPlay","Outbound clicks","Unique outbound clicks","CTR (link click-through rate)","Outbound CTR (click-through rate)","Unique outbound CTR (click-through rate)","Unique CTR (all)","Unique clicks (all)","Instagram profile visits","Ad recall lift","Ad recall lift rate",Bid,"Bid type","Buying type","Performance goal",Objective,"Reporting starts","Reporting ends","Campaign Budget","Campaign Budget Type"
"Sales - Copy","Custom Audience (Video + Interaction + LP)","JD sitting desk - Copy",2026-01-31,not_delivering,ad,2076,2508,1.20809249,"7-day click or 1-day view","Website purchases",1,2249,2249,2026-01-26,Ongoing,2,2.38095238,44.98,896.73046252,2249,1,50,48.89130435,2249,2249,42,53.54761905,84,46,2.21579961,1,1,25,89.96,0.03987241,2522,2076,2,not_delivering,inactive,not_delivering,-,-,,,,,,,,,50,46,1.99362041,1.99362041,2.21579961,4.43159923,92,16,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-01-31,2026-01-31,100000,Daily
"Sales - Copy","Web Audience Retarg","Opening Weekend Video - Copy 2",2026-01-31,not_delivering,ad,188,195,1.03723404,"7-day click, 1-day view, or 1-day engaged-view",,,178,,2026-01-21,Ongoing,0,0,19.77777778,912.82051282,,,9,22.25,,,8,22.25,88.88888889,8,4.25531915,,,2,89,,195,177,,not_delivering,inactive,not_delivering,-,-,9,46,22,11,9,8,1.78,5.74193548,9,8,4.61538462,4.61538462,4.25531915,7.9787234,15,8,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-01-31,2026-01-31,100000,Daily
"Awareness 2.0","Tokyo & Kanagawa Broad","Opening Day Line Vid [Post] - Copy",2026-01-31,active,ad,11520,11548,1.00243056,"7-day click or 1-day view",Reach,11520,960,83.33333333,2026-01-19,Ongoing,0,0,120,83.13127814,,,8,120,,,4,240,50,8,0.06944444,,,,,99.75753377,11075,10439,144000,active,active,active,Average,-,2,415,94,38,32,30,0.45584046,4.21052632,8,8,0.06927607,0.06927607,0.06944444,0.25173611,29,0,,,,ABSOLUTE_OCPM,AUCTION,Reach,Awareness,2026-01-31,2026-01-31,20000,Daily
"Sales - Copy","Custom Audience (Video + Interaction + LP)","Poster [Redirect link] + related Media",2026-01-31,not_delivering,ad,2225,2469,1.10966292,"7-day click or 1-day view",,,2146,,2026-01-26,Ongoing,0,0,39.74074074,869.17780478,,,54,42.92,2146,,40,53.65,74.07407407,50,2.24719101,1,,10,214.6,,2477,2189,,not_delivering,inactive,not_delivering,-,-,7,90,46,27,8,6,6.04507042,15.66423358,54,50,2.18712029,2.18712029,2.24719101,4.13483146,92,26,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-01-31,2026-01-31,100000,Daily
"Sales - Copy","Web Audience Retarg","JD Pose with Graphic - Copy",2026-01-31,not_delivering,ad,8,8,1,"7-day click, 1-day view, or 1-day engaged-view",,,15,,2026-01-21,Ongoing,0,0,15,1875,,,1,15,,,1,15,100,1,12.5,,,,,,8,8,,not_delivering,inactive,not_delivering,-,-,,,,,,,,,1,1,12.5,12.5,12.5,12.5,1,0,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-01-31,2026-01-31,100000,Daily
"Sales - Copy","Zaiko + InBound (English) - Copy","JD w/ Confetti",2026-01-31,not_delivering,ad,259,276,1.06563707,"7-day click or 1-day view",,,297,,2026-01-28,Ongoing,0,0,42.42857143,1076.08695652,,,7,49.5,,,3,99,42.85714286,6,2.31660232,,,1,297,,276,259,,not_delivering,inactive,not_delivering,-,-,2,,,,,,297,,7,6,2.53623188,2.53623188,2.31660232,2.7027027,7,4,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-01-31,2026-01-31,100000,Daily
"Sales - Copy","Custom Audience (Video + Interaction + LP)","Black and white photo - Copy",2026-01-31,not_delivering,ad,3406,4323,1.26923077,"7-day click or 1-day view","Website purchases",1,4190,4190,2026-01-26,Ongoing,0.94339623,1.07526882,39.52830189,969.23432801,4190,1,106,42.75510204,2095,4190,93,45.05376344,87.73584906,98,2.8772754,2,1,17,246.47058824,0.02313208,4310,3361,0.94339623,not_delivering,inactive,not_delivering,-,-,7,182,80,57,21,10,6.39694656,17.24279835,106,98,2.45200093,2.45200093,2.8772754,5.07927187,173,55,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-01-31,2026-01-31,100000,Daily
"Awareness 2.0","Tokyo & Kanagawa Broad","Immersive Experience [Post]",2026-01-31,active,ad,7652,7800,1.01934135,"7-day click or 1-day view",Reach,7652,617,80.63251438,2026-01-19,Ongoing,0,0,154.25,79.1025641,,,4,154.25,,,2,308.5,50,4,0.05227392,,,,,98.1025641,7820,7652,191300,active,active,active,"Above average",-,,,,,,,,,4,4,0.05128205,0.05128205,0.05227392,0.09147935,7,0,,,,ABSOLUTE_OCPM,AUCTION,Reach,Awareness,2026-01-31,2026-01-31,20000,Daily
"Sales - Copy","Zaiko + InBound (English) - Copy","Opening Weekend Video - Copy",2026-01-31,not_delivering,ad,499,547,1.09619238,"7-day click or 1-day view",,,554,,2026-01-28,Ongoing,0,0,34.625,1012.79707495,,,16,42.61538462,,,15,36.93333333,93.75,13,2.60521042,,,,,,566,470,,not_delivering,inactive,not_delivering,"Above average","Above average",10,114,69,48,42,41,2.46222222,5.77083333,16,13,2.9250457,2.9250457,2.60521042,5.41082164,27,8,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-01-31,2026-01-31,100000,Daily
"Sales - Copy","Custom Audience (Video + Interaction + LP)","JD w/ Confetti - Copy",2026-01-31,not_delivering,ad,267,295,1.10486891,"7-day click or 1-day view",,,309,,2026-01-26,Ongoing,0,0,51.5,1047.45762712,,,6,51.5,,,5,61.8,83.33333333,6,2.24719101,,,,,,295,267,,not_delivering,inactive,not_delivering,-,-,8,,,,,,309,,6,6,2.03389831,2.03389831,2.24719101,2.99625468,8,3,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-01-31,2026-01-31,100000,Daily
