"Campaign name","Ad set name","Ad name",Day,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (JPY)","Cost per result",Starts,Ends,"Purchases rate per link clicks","Purchases rate per landing page views","CPC (cost per link click)","CPM (cost per 1,000 impressions)","Cost per purchase",Purchases,"Link clicks","Cost per unique link click","Cost per add to cart","Cost per checkout initiated","Landing page views","Cost per landing page view","Landing page views rate per link clicks","Unique link clicks","Unique CTR (link click-through rate)","Reporting starts","Reporting ends"
"NSN - ABOS - Awareness Kanto","Broad Tokyo + Kanagawa + Saitama","JD Konnichiwa Video",2025-11-25,not_delivering,ad,12452,12573,1.00971731,"7-day click or 1-day view",Reach,12452,2647,212.57629296,2025-11-22,2025-11-27,0,0,132.35,210.53050187,,,20,132.35,529.4,176.46666667,19,139.31578947,95,20,0.16061677,2025-11-25,2025-11-25
"ABOS Traffic","Johnny Depp Interest Group","Hello Tokyo - Copy",2025-11-25,not_delivering,ad,0,0,0,"7-day click or 1-day view",,,0,,2025-11-22,2025-11-28,0,0,,,,,,,0,0,,,0,,,2025-11-25,2025-11-25
"NSN - ABOS - Awareness Kanto","Broad Tokyo + Kanagawa + Saitama","Hello Tokyo",2025-11-25,not_delivering,ad,9619,10028,1.04252001,"7-day click or 1-day view",Reach,9619,2443,253.97650483,2025-11-22,2025-11-27,0,0,203.58333333,243.61786996,,,12,203.58333333,,1221.5,15,162.86666667,125,12,0.12475309,2025-11-25,2025-11-25
"ABOS Traffic","Johnny Depp Interest Group","JD Photography - Copy 2",2025-11-25,not_delivering,ad,62,62,1,"7-day click or 1-day view","Landing page views",1,17,17,2025-11-22,2025-11-28,0,0,8.5,274.19354839,,,2,8.5,17,17,1,17,50,2,3.22580645,2025-11-25,2025-11-25
"Test - NSN - ABOS - Awareness Kanto","Interest Based in Tokyo + Kanagawa + Saitama","JD Painting with Graphic",2025-11-25,not_delivering,ad,3476,3492,1.00460299,"7-day click or 1-day view",Reach,3476,513,147.58342923,2025-11-22,2025-11-27,0,0,171,146.90721649,,,3,171,,,1,513,33.33333333,3,0.0863061,2025-11-25,2025-11-25
"Test - NSN - ABOS - Awareness Kanto","Interest Based in Tokyo + Kanagawa + Saitama","JD Photography - Copy",2025-11-25,not_delivering,ad,2523,2527,1.00158541,"7-day click or 1-day view",Reach,2523,326,129.21125644,2025-11-22,2025-11-27,0,0,81.5,129.00672734,,,4,81.5,,,2,163,50,4,0.15854142,2025-11-25,2025-11-25
"ABOS Traffic","Johnny Depp Interest Group","JD announcement date post",2025-11-25,not_delivering,ad,136,138,1.01470588,"7-day click or 1-day view","Landing page views",3,59,19.66666667,2025-11-22,2025-11-28,0,0,14.75,427.53623188,,,4,14.75,11.8,3.10526316,3,19.66666667,75,4,2.94117647,2025-11-25,2025-11-25
"Test - NSN - ABOS - Awareness Kanto","Interest Based in Tokyo + Kanagawa + Saitama","JD with Skull Confetti",2025-11-25,not_delivering,ad,9007,9075,1.00754968,"7-day click or 1-day view",Reach,9007,1438,159.65360275,2025-11-22,2025-11-27,0,0,110.61538462,158.45730028,,,13,110.61538462,,719,6,239.66666667,46.15384615,13,0.14433219,2025-11-25,2025-11-25
"NSN - ABOS - Awareness Kanto","Broad Tokyo + Kanagawa + Saitama","JD Photography - Copy",2025-11-25,not_delivering,ad,3501,3635,1.03827478,"7-day click or 1-day view",Reach,3501,606,173.09340189,2025-11-22,2025-11-27,0,0,30.3,166.71251719,,,20,31.89473684,,121.2,16,37.875,80,19,0.54270209,2025-11-25,2025-11-25
"NSN - ABOS - Awareness Kanto","Broad Tokyo + Kanagawa + Saitama","JD Desk - Red Curtain",2025-11-25,not_delivering,ad,3592,3677,1.0236637,"7-day click or 1-day view",Reach,3592,780,217.14922049,2025-11-22,2025-11-27,0,0,86.66666667,212.12945336,,,9,86.66666667,,780,9,86.66666667,100,9,0.25055679,2025-11-25,2025-11-25
"ABOS Traffic","Johnny Depp Interest Group","JD Konnichiwa Video - Copy",2025-11-25,not_delivering,ad,11692,11692,1,"7-day click or 1-day view","Landing page views",868,5094,5.86866359,2025-11-22,2025-11-28,0.6557377,0.69124424,5.56721311,435.68251796,849,6,915,5.91637631,391.84615385,33.29411765,868,5.86866359,94.86338798,861,7.36400958,2025-11-25,2025-11-25
"NSN - ABOS - Awareness Kanto","Broad Tokyo + Kanagawa + Saitama","Date announcement Post",2025-11-25,not_delivering,ad,559,577,1.03220036,"7-day click or 1-day view",Reach,559,120,214.66905188,2025-11-22,2025-11-27,0,0,40,207.97227036,,,3,40,,120,2,60,66.66666667,3,0.53667263,2025-11-25,2025-11-25
