クライアントID,興行ID,公演日,開演時間,席種NO,席種名,券種NO,券種名,販売枚数
jd,JD25111430,20251121,1320,4,入場券,6,大人,2
jd,JD25111430,20251121,1320,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251121,1410,4,入場券,6,大人,2
jd,JD25111430,20251121,1410,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251121,1500,4,入場券,6,大人,0
jd,JD25111430,20251121,1500,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251121,1550,4,入場券,6,大人,0
jd,JD25111430,20251121,1550,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251121,1640,4,入場券,6,大人,0
jd,JD25111430,20251121,1640,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251121,1730,4,入場券,6,大人,1
jd,JD25111430,20251121,1730,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251121,1820,4,入場券,6,大人,0
jd,JD25111430,20251121,1820,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251121,1910,4,入場券,6,大人,2
jd,JD25111430,20251121,1910,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251121,2000,4,入場券,6,大人,0
jd,JD25111430,20251121,2000,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251122,1000,4,入場券,6,大人,7
jd,JD25111430,20251122,1000,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251122,1050,4,入場券,6,大人,4
jd,JD25111430,20251122,1050,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251122,1140,4,入場券,6,大人,3
jd,JD25111430,20251122,1140,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251122,1230,4,入場券,6,大人,4
jd,JD25111430,20251122,1230,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251122,1320,4,入場券,6,大人,2
jd,JD25111430,20251122,1320,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251122,1410,4,入場券,6,大人,8
jd,JD25111430,20251122,1410,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251122,1500,4,入場券,6,大人,3
jd,JD25111430,20251122,1500,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251122,1550,4,入場券,6,大人,2
jd,JD25111430,20251122,1550,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251122,1640,4,入場券,6,大人,0
jd,JD25111430,20251122,1640,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251122,1730,4,入場券,6,大人,0
jd,JD25111430,20251122,1730,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251122,1820,4,入場券,6,大人,0
jd,JD25111430,20251122,1820,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251122,1910,4,入場券,6,大人,0
jd,JD25111430,20251122,1910,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251122,2000,4,入場券,6,大人,0
jd,JD25111430,20251122,2000,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251123,1000,4,入場券,6,大人,9
jd,JD25111430,20251123,1000,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251123,1050,4,入場券,6,大人,7
jd,JD25111430,20251123,1050,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251123,1140,4,入場券,6,大人,8
jd,JD25111430,20251123,1140,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251123,1230,4,入場券,6,大人,5
jd,JD25111430,20251123,1230,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251123,1320,4,入場券,6,大人,3
jd,JD25111430,20251123,1320,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251123,1410,4,入場券,6,大人,4
jd,JD25111430,20251123,1410,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251123,1500,4,入場券,6,大人,1
jd,JD25111430,20251123,1500,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251123,1550,4,入場券,6,大人,0
jd,JD25111430,20251123,1550,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251123,1640,4,入場券,6,大人,2
jd,JD25111430,20251123,1640,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251123,1730,4,入場券,6,大人,0
jd,JD25111430,20251123,1730,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251123,1820,4,入場券,6,大人,0
jd,JD25111430,20251123,1820,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251123,1910,4,入場券,6,大人,0
jd,JD25111430,20251123,1910,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251123,2000,4,入場券,6,大人,0
jd,JD25111430,20251123,2000,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251124,1000,4,入場券,6,大人,6
jd,JD25111430,20251124,1000,4,入場券,7,子ども(3～12歳まで),0
