"Campaign name","Ad set name","Ad name",Day,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (JPY)","Cost per result",Starts,Ends,"Purchases rate per link clicks","Purchases rate per landing page views","CPC (cost per link click)","CPM (cost per 1,000 impressions)","Cost per purchase",Purchases,"Link clicks","Cost per unique link click","Cost per add to cart","Cost per checkout initiated","Landing page views","Cost per landing page view","Landing page views rate per link clicks","Unique link clicks","Unique CTR (link click-through rate)","Reporting starts","Reporting ends"
"ABOS Sales Campaign","Zaiko + InBound (English)","JD Konnichiwa Video",2026-01-11,not_delivering,ad,823,914,1.11057108,"7-day click, 1-day view, or 1-day engaged-view",,,780,,2025-12-06,2026-01-19,0,0,41.05263158,853.3916849,,,19,41.05263158,,780,13,60,68.42105263,19,2.30862697,2026-01-11,2026-01-11
"ABOS Sales 2.0",Lookalikes+Engagers,"Poster [Redirect link] + related Media - Copy",2026-01-11,not_delivering,ad,214,230,1.07476636,"7-day click, 1-day view, or 1-day engaged-view",,,115,,2026-01-09,Ongoing,0,0,,500,,,,,,,,,0,,,2026-01-11,2026-01-11
"ABOS Sales 2.0",Lookalikes+Engagers,"JD Graffiti Paint 2.0",2026-01-11,not_delivering,ad,50,54,1.08,"7-day click, 1-day view, or 1-day engaged-view",,,29,,2026-01-09,Ongoing,0,0,,537.03703704,,,,,,,,,0,,,2026-01-11,2026-01-11
"ABOS Sales 2.0","Web Retarg 2.0","JD Spray Painting Ground 2.0",2026-01-11,not_delivering,ad,42,47,1.11904762,"7-day click, 1-day view, or 1-day engaged-view",,,53,,2026-01-09,Ongoing,0,0,,1127.65957447,,,,,,,,,0,,,2026-01-11,2026-01-11
"ABOS Sales Campaign","Zaiko + InBound (English)","Poster [Redirect link] + related Media",2026-01-11,not_delivering,ad,1180,1289,1.09237288,"7-day click, 1-day view, or 1-day engaged-view",,,853,,2025-12-06,2026-01-19,0,0,56.86666667,661.75329713,,,15,56.86666667,,,8,106.625,53.33333333,15,1.27118644,2026-01-11,2026-01-11
"ABOS Traffic 2.0","Broad JP Cities + JD Interest","JD with Skeleton Confetti",2026-01-11,active,ad,12,12,1,"7-day click or 1-day view",,,1,,2026-01-09,Ongoing,0,0,,83.33333333,,,,,,,,,0,,,2026-01-11,2026-01-11
"ABOS Traffic 2.0","Broad JP Cities","Black and white photo",2026-01-11,active,ad,88,88,1,"7-day click or 1-day view","Landing page views",2,16,8,2026-01-09,Ongoing,0,0,5.33333333,181.81818182,,,3,5.33333333,,,2,8,66.66666667,3,3.40909091,2026-01-11,2026-01-11
"ABOS Sales Campaign","Zaiko + InBound (English)","JD Spray Painting Ground - Copy",2026-01-11,not_delivering,ad,2,2,1,"7-day click, 1-day view, or 1-day engaged-view",,,0,,2025-12-06,2026-01-19,0,0,,0,,,,,,,,,0,,,2026-01-11,2026-01-11
"ABOS Sales 2.0","Web Retarg 2.0","Enter the world of Johnny Depp [Post]",2026-01-11,not_delivering,ad,260,283,1.08846154,"7-day click, 1-day view, or 1-day engaged-view",,,210,,2026-01-09,Ongoing,0,0,105,742.04946996,,,2,105,,,,,0,2,0.76923077,2026-01-11,2026-01-11
"ABOS Traffic 2.0","Broad JP Cities + JD Interest","Black and white photo",2026-01-11,active,ad,74,74,1,"7-day click or 1-day view","Landing page views",2,14,7,2026-01-09,Ongoing,0,0,2.8,189.18918919,,,5,2.8,,,2,7,40,5,6.75675676,2026-01-11,2026-01-11
"ABOS Sales 2.0",Lookalikes+Engagers,"JD Spray Painting Ground 2.0",2026-01-11,not_delivering,ad,29,32,1.10344828,"7-day click, 1-day view, or 1-day engaged-view",,,20,,2026-01-09,Ongoing,0,0,,625,,,,,,,,,0,,,2026-01-11,2026-01-11
"ABOS Sales Campaign","Zaiko + InBound (English)","JD Pose with Graphic",2026-01-11,not_delivering,ad,2185,2678,1.22562929,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",1,1878,1878,2025-12-06,2026-01-19,2.5,4.54545455,46.95,701.26960418,1878,1,40,55.23529412,1878,1878,22,85.36363636,55,34,1.55606407,2026-01-11,2026-01-11
"ABOS Traffic 2.0","Broad JP Cities","JD with Skull Confetti - Copy",2026-01-11,active,ad,9,9,1,"7-day click or 1-day view",,,0,,2026-01-09,Ongoing,0,0,0,0,,,2,0,,,,,0,2,22.22222222,2026-01-11,2026-01-11
"ABOS Traffic 2.0","Broad JP Cities + JD Interest","JD announcement date post",2026-01-11,active,ad,250,252,1.008,"7-day click or 1-day view","Landing page views",2,49,24.5,2026-01-09,Ongoing,0,0,7,194.44444444,,,7,7,,,2,24.5,28.57142857,7,2.8,2026-01-11,2026-01-11
"ABOS Sales 2.0","Web Retarg 2.0","Poster [Redirect link] + related Media - Copy",2026-01-11,not_delivering,ad,258,292,1.13178295,"7-day click, 1-day view, or 1-day engaged-view",,,185,,2026-01-09,Ongoing,0,0,61.66666667,633.56164384,,,3,61.66666667,,,2,92.5,66.66666667,3,1.1627907,2026-01-11,2026-01-11
"ABOS Traffic 2.0","JD Deep Interest","JD announcement date post",2026-01-11,active,ad,1516,1521,1.00329815,"7-day click or 1-day view","Landing page views",30,363,12.1,2026-01-09,Ongoing,0,0,3.94565217,238.65877712,,,92,4.17241379,,,30,12.1,32.60869565,87,5.73878628,2026-01-11,2026-01-11
"ABOS Sales 2.0",Lookalikes+Engagers,"JD Graffiti Paint 2.0",2026-01-10,not_delivering,ad,50,53,1.06,"7-day click, 1-day view, or 1-day engaged-view",,,27,,2026-01-09,Ongoing,0,0,27,509.43396226,,,1,27,,,,,0,1,2,2026-01-10,2026-01-10
"ABOS Traffic 2.0","Broad JP Cities + JD Interest","JD announcement date post",2026-01-10,active,ad,159,161,1.01257862,"7-day click or 1-day view","Landing page views",1,36,36,2026-01-09,Ongoing,0,0,6,223.60248447,,,6,6,,,1,36,16.66666667,6,3.77358491,2026-01-10,2026-01-10
"ABOS Sales 2.0","Web Retarg 2.0","Poster [Redirect link] + related Media - Copy",2026-01-10,not_delivering,ad,291,328,1.12714777,"7-day click, 1-day view, or 1-day engaged-view",,,202,,2026-01-09,Ongoing,0,0,50.5,615.85365854,,,4,67.33333333,,,3,67.33333333,75,3,1.03092784,2026-01-10,2026-01-10
"ABOS Traffic 2.0","JD Deep Interest","JD announcement date post",2026-01-10,active,ad,317,321,1.0126183,"7-day click or 1-day view","Landing page views",6,77,12.83333333,2026-01-09,Ongoing,0,0,4.05263158,239.87538941,,,19,4.8125,,,6,12.83333333,31.57894737,16,5.04731861,2026-01-10,2026-01-10
"ABOS Traffic 2.0","Broad JP Cities","Hello Tokyo - Copy",2026-01-10,active,ad,83,83,1,"7-day click or 1-day view",,,6,,2026-01-09,Ongoing,0,0,,72.28915663,,,,,,,,,0,,,2026-01-10,2026-01-10
"ABOS Sales Campaign","Zaiko + InBound (English)",Poster,2026-01-10,not_delivering,ad,0,0,0,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",1,0,0,2025-12-06,2026-01-19,0,0,,,0,1,,,,0,,,0,,,2026-01-10,2026-01-10
"ABOS Traffic 2.0","Broad JP Cities","JD announcement date post",2026-01-10,active,ad,1414,1456,1.02970297,"7-day click or 1-day view","Landing page views",16,392,24.5,2026-01-09,Ongoing,0,0,7.84,269.23076923,,,50,7.84,,,16,24.5,32,50,3.53606789,2026-01-10,2026-01-10
"ABOS Traffic 2.0","JD Deep Interest","JD with Skull Confetti - Copy",2026-01-10,active,ad,1,1,1,"7-day click or 1-day view",,,0,,2026-01-09,Ongoing,0,0,,0,,,,,,,,,0,,,2026-01-10,2026-01-10
"ABOS Traffic 2.0","Broad JP Cities + JD Interest","JD with Skull Confetti - Copy",2026-01-10,active,ad,1,1,1,"7-day click or 1-day view",,,0,,2026-01-09,Ongoing,0,0,,0,,,,,,,,,0,,,2026-01-10,2026-01-10
"ABOS Traffic 2.0","Broad JP Cities + JD Interest","Hello Tokyo - Copy",2026-01-10,active,ad,41,41,1,"7-day click or 1-day view",,,14,,2026-01-09,Ongoing,0,0,14,341.46341463,,,1,14,,,,,0,1,2.43902439,2026-01-10,2026-01-10
"ABOS Traffic 2.0","Broad JP Cities + JD Interest","JD with Skeleton Confetti",2026-01-10,active,ad,164,165,1.00609756,"7-day click or 1-day view","Landing page views",3,24,8,2026-01-09,Ongoing,0,0,3,145.45454545,,,8,3,,,3,8,37.5,8,4.87804878,2026-01-10,2026-01-10
"ABOS Traffic 2.0","JD Deep Interest","JD Photography - Copy",2026-01-10,active,ad,3,3,1,"7-day click or 1-day view",,,0,,2026-01-09,Ongoing,0,0,,0,,,,,,,,,0,,,2026-01-10,2026-01-10
"ABOS Sales 2.0",Lookalikes+Engagers,"JD Spray Painting Ground 2.0",2026-01-10,not_delivering,ad,44,51,1.15909091,"7-day click, 1-day view, or 1-day engaged-view",,,27,,2026-01-09,Ongoing,0,0,,529.41176471,,,,,,,,,0,,,2026-01-10,2026-01-10
"ABOS Traffic 2.0","Broad JP Cities + JD Interest","Black and white photo",2026-01-10,active,ad,938,938,1,"7-day click or 1-day view","Landing page views",12,252,21,2026-01-09,Ongoing,0,0,8.12903226,268.65671642,,,31,8.4,,,12,21,38.70967742,30,3.19829424,2026-01-10,2026-01-10
"ABOS Sales 2.0",Lookalikes+Engagers,"Poster [Redirect link] + related Media - Copy",2026-01-10,not_delivering,ad,357,396,1.1092437,"7-day click, 1-day view, or 1-day engaged-view",,,207,,2026-01-09,Ongoing,0,0,25.875,522.72727273,,,8,25.875,,,2,103.5,25,8,2.24089636,2026-01-10,2026-01-10
"ABOS Sales 2.0","Web Retarg 2.0","Enter the world of Johnny Depp [Post]",2026-01-10,not_delivering,ad,699,714,1.02145923,"7-day click, 1-day view, or 1-day engaged-view",,,464,,2026-01-09,Ongoing,0,0,58,649.85994398,,,8,58,,,6,77.33333333,75,8,1.14449213,2026-01-10,2026-01-10
"ABOS Traffic 2.0","Broad JP Cities","Black and white photo",2026-01-10,active,ad,1028,1028,1,"7-day click or 1-day view","Landing page views",21,230,10.95238095,2026-01-09,Ongoing,0,0,4.18181818,223.73540856,,,55,4.25925926,,,21,10.95238095,38.18181818,54,5.25291829,2026-01-10,2026-01-10
"ABOS Sales Campaign","Zaiko + InBound (English)","JD Konnichiwa Video",2026-01-10,not_delivering,ad,0,0,0,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",1,0,0,2025-12-06,2026-01-19,0,0,,,0,1,,,0,0,,,0,,,2026-01-10,2026-01-10
"ABOS Traffic 2.0","JD Deep Interest","Hanging sketches - Copy",2026-01-10,active,ad,29,30,1.03448276,"7-day click or 1-day view",,,7,,2026-01-09,Ongoing,0,0,,233.33333333,,,,,,,,,0,,,2026-01-10,2026-01-10
"ABOS Traffic 2.0","JD Deep Interest","JD Painting with Graphic - Copy",2026-01-10,active,ad,83,83,1,"7-day click or 1-day view",,,30,,2026-01-09,Ongoing,0,0,30,361.44578313,,,1,30,,,,,0,1,1.20481928,2026-01-10,2026-01-10
"ABOS Sales 2.0","Web Retarg 2.0","JD Spray Painting Ground 2.0",2026-01-10,not_delivering,ad,46,52,1.13043478,"7-day click, 1-day view, or 1-day engaged-view",,,43,,2026-01-09,Ongoing,0,0,43,826.92307692,,,1,43,,,1,43,100,1,2.17391304,2026-01-10,2026-01-10
"ABOS Traffic - #2","Broad JP Cities","JD Konnichiwa Video - Copy",2026-01-10,not_delivering,ad,0,0,0,"7-day click or 1-day view","Landing page views",1,0,0,2025-12-26,2026-01-13,0,0,,,,,,,,,1,0,0,,,2026-01-10,2026-01-10
"ABOS Traffic 2.0","Broad JP Cities","JD Photography - Copy 2",2026-01-10,active,ad,26,26,1,"7-day click or 1-day view",,,3,,2026-01-09,Ongoing,0,0,1.5,115.38461538,,,2,1.5,,,,,0,2,7.69230769,2026-01-10,2026-01-10
"ABOS Traffic 2.0","Broad JP Cities + JD Interest","JD Photograph with graphics - Copy",2026-01-10,active,ad,1,1,1,"7-day click or 1-day view",,,0,,2026-01-09,Ongoing,0,0,,0,,,,,,,,,0,,,2026-01-10,2026-01-10
"ABOS Traffic 2.0","JD Deep Interest","Black and white photo",2026-01-10,active,ad,687,695,1.01164483,"7-day click or 1-day view","Landing page views",8,165,20.625,2026-01-09,Ongoing,0,0,6.11111111,237.41007194,,,27,6.34615385,,,8,20.625,29.62962963,26,3.7845706,2026-01-10,2026-01-10
"ABOS Sales Campaign","Zaiko + InBound (English)","JD Painting Video - Copy",2026-01-10,not_delivering,ad,0,0,0,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",1,0,0,2025-12-06,2026-01-19,0,0,,,0,1,,,,0,,,0,,,2026-01-10,2026-01-10
"ABOS Traffic 2.0","Broad JP Cities","JD Konnichiwa Video - Copy",2026-01-10,active,ad,1412,1422,1.00708215,"7-day click or 1-day view","Landing page views",25,485,19.4,2026-01-09,Ongoing,0,0,5.15957447,341.06891702,,,94,5.51136364,,,25,19.4,26.59574468,88,6.23229462,2026-01-10,2026-01-10
